Date,Ticker,Name,Open,High,Low,Close,Volume,,
21/06/2021,FB,"Facebook, Inc.",331.09,332.92,327.65,332.29,11337500,,
22/06/2021,FB,"Facebook, Inc.",332.69,339.92,332.60,339.03,15345300,,
23/06/2021,FB,"Facebook, Inc.",339.35,343.42,338.20,340.59,14817800,,
24/06/2021,FB,"Facebook, Inc.",341.85,344.90,341.79,343.18,12329100,,
25/06/2021,FB,"Facebook, Inc.",342.59,344.12,339.68,341.37,14594400,,
28/06/2021,FB,"Facebook, Inc.",342.46,358.14,341.77,355.64,29156100,,
29/06/2021,FB,"Facebook, Inc.",356.27,356.74,349.05,351.89,21417300,,FB
30/06/2021,FB,"Facebook, Inc.",352.17,352.92,347.17,347.71,15107500,,AMZN
01/07/2021,FB,"Facebook, Inc.",346.82,354.67,346.50,354.39,17137000,,TSLA
02/07/2021,FB,"Facebook, Inc.",355.10,356.44,352.62,354.70,11521300,,
21/06/2021,AMZN,"Amazon.com, Inc.",3476.42,3482.00,3434.00,3453.96,3277100,,
22/06/2021,AMZN,"Amazon.com, Inc.",3458.06,3523.78,3456.09,3505.44,3345100,,
23/06/2021,AMZN,"Amazon.com, Inc.",3505.00,3521.00,3483.20,3503.82,2813300,,
24/06/2021,AMZN,"Amazon.com, Inc.",3507.64,3524.86,3430.85,3449.08,3832000,,
25/06/2021,AMZN,"Amazon.com, Inc.",3464.00,3464.82,3394.18,3401.46,3941000,,
28/06/2021,AMZN,"Amazon.com, Inc.",3416.00,3448.00,3413.51,3443.89,2242800,,
29/06/2021,AMZN,"Amazon.com, Inc.",3438.82,3456.03,3423.03,3448.14,2098400,,
30/06/2021,AMZN,"Amazon.com, Inc.",3441.06,3471.60,3435.00,3440.16,2404000,,"Facebook, Inc."
01/07/2021,AMZN,"Amazon.com, Inc.",3434.61,3457.00,3409.42,3432.97,2037100,,"Amazon.com, Inc."
02/07/2021,AMZN,"Amazon.com, Inc.",3451.64,3511.72,3436.92,3510.98,3169400,,"Tesla, Inc."
21/06/2021,TSLA,"Tesla, Inc.",624.48,631.39,608.88,620.83,24812700,,
22/06/2021,TSLA,"Tesla, Inc.",618.25,628.57,615.50,623.71,19158900,,
23/06/2021,TSLA,"Tesla, Inc.",632.00,657.20,630.04,656.57,31099200,,
24/06/2021,TSLA,"Tesla, Inc.",674.99,697.62,667.61,679.82,45982400,,
25/06/2021,TSLA,"Tesla, Inc.",689.58,693.81,668.70,671.87,32496700,,
28/06/2021,TSLA,"Tesla, Inc.",671.64,694.70,670.32,688.72,21628200,,
29/06/2021,TSLA,"Tesla, Inc.",684.65,687.51,675.89,680.76,17381300,,
30/06/2021,TSLA,"Tesla, Inc.",679.77,692.81,678.14,679.70,18924900,,
01/07/2021,TSLA,"Tesla, Inc.",683.92,687.99,672.80,677.92,18634500,,
02/07/2021,TSLA,"Tesla, Inc.",678.98,700.00,673.26,678.90,27054500,,
